Codigo_new,Comentarios_ES,category_id,length_split,length_letters,CleanComment
COMIDA,puede mejorar en los la Grann variedad de platos que tiene,0,11,58,pod mejor grann varied plat
COMIDA,pero menú variado,0,3,17,menu vari
COMIDA,que ponga comida sana pan comercio,0,6,34,pon com san pan comerci
COMIDA,más variedad de comida,0,4,22,varied com
COMIDA,MEMU más variado y apto para intolerancias como lactosa y sorbitol,0,11,66,memu vari aptar intoler lactos sorbitol
COMIDA,"comida y con las instalaciones, instalaciones",0,6,45,com instal instal
COMIDA,zumos,0,1,5,zum
COMIDA,vario,0,1,5,vari
COMIDA,en la cerveza con alcohol,0,5,25,cervez alcohol
COMIDA,variedad en los desayunos: más opciones de yogurts y vegetales,0,10,62,varied desayun opcion yogur vegetal
COMIDA,pero Variedad desayunos celiacos,0,4,32,varied desayun celiac
COMIDA,la calidad de algunos comidas,0,5,29,calid com
COMIDA,mas variedad sin gluten,0,4,23,mas varied glut
COMIDA,vario,0,1,5,vari
COMIDA, la comida Tiene q mejor y muy poca cantida en el menú,0,12,54,com q mejor cant menu
COMIDA,mas opciones de refrigerio,0,4,26,mas opcion refrigeri
COMIDA,zumo,0,1,4,zum
COMIDA,"antiguamente se realizaban bocadillos calientes de celíacos y ahora no. se cuestion de una plancha y seguir Dando Servicio como durant muchos años se ha dado.Por favor contemplenlo de nuevo. actualmente son muchos los bares k Tienen Capacidad de dar respuesta, no entiendo que antes el hicieran y ahora no. pero diseño, menos Servicio.",0,54,335,antigu realiz bocadill calient celiac ahor cuestion planch segu dar servici durant ano dado por favor contemplenl nuev actual bar k capac dar respuest entend hac ahor disen men servici
COMIDA,lá comidac9ño,0,2,13,la comidac n
COMIDA,comida apta para veganos,0,4,24,com apto vegan
COMIDA,"mas variedad de menú, mes platos",0,6,32,mas varied menu mes plat
COMIDA,que hubiera un menú de cena,0,6,27,menu cen
COMIDA,comidas durant todo el Servicio,0,5,31,com durant servici
ESPERA,puntualidad,1,1,11,puntual
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,rápidez espera,1,2,14,rapidez esper
ESPERA,"tiempo de, espera",1,3,17,tiemp esper
ESPERA,demasiada espera y mala resoluion en el diagnostico.,1,8,52,demasi esper mal resoluion diagnostic
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,en todo un poco bastante mucho rato en las espera,1,10,49,bastant rat esper
ESPERA,que en 3 horas no se asigne un medico Love injusto,1,11,50,  hor asign medic lov injust
ESPERA, las instal.lacios y el tiempo de espera en urgencias,1,9,53,instal laci tiemp esper urgenci
ESPERA,puntualidad,1,1,11,puntual
ESPERA,La espera del,1,3,13,esper
ESPERA,sigo esperando,1,2,14,segu esper
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,la puntuacion,1,2,13,puntuacion
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,pero rápidez ...,1,3,16,rapidez    
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,el temz de espera,1,4,17,temz esper
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,en la Esprit,1,3,12,esprit
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,"el tiempo de, espera",1,4,20,tiemp esper
ESPERA,Reducir espera,1,2,14,reduc esper
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,puntualidad,1,1,11,puntual
ESPERA,el tiempo de espera,1,4,19,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,TIEPI de espera,1,3,15,tiepi esper
ESPERA,"espera, atención",1,2,16,esper atencion
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,timpo de espera,1,3,15,timp esper
ESPERA,lista de espera para determinados procedimientos. tiempo de espera pe4accedir la cosulta medica,1,13,95,list esper determin proced tiemp esper pe acced cosult medic
ESPERA,la puntualidaz,1,2,14,puntualidaz
ESPERA,menos tiempo de espera oara la siguiente programación púas la diabetes se descompensa mucho,1,14,91,men tiemp esper oar siguient program pua diabet descompens
ESPERA,no espararte pertenece,1,3,22,esparart pertenec
ESPERA,en la pumtualidad,1,3,17,pumtual
ESPERA,no es normal el tiempo de espera para dar vez para una consulta 11 dias por nobtener personal,1,18,93,normal tiemp esper dar vez consult    dias nobten personal
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera durant el día. durant la noche muy bien,1,11,56,tiemp esper durant dia durant noch bien
ESPERA,pero rapido,1,2,11,rap
ESPERA,podriamos esperar un poco menos miedo lo demas todo perfecto,1,10,60,podri esper men mied dem perfect
ESPERA,putualidad,1,1,10,putual
ESPERA,puntualidad fatal,1,2,17,puntual fatal
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,el tiempo de espera y la claridad en las explicaciones médicos,1,11,62,tiemp esper clarid explic medic
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,dos meses y todavia no esta el lnforme medico. vergonzoso,1,10,57,do mes todavi lnform medic vergonz
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,la puntualidad,1,2,14,puntual
ESPERA,en la puntualidad,1,3,17,puntual
ESPERA,en todo se pesimo espera juguetes sucios mala valoracion,1,9,56,pesim esper juguet suci mal valoracion
ESPERA,en la puntualidat,1,3,17,puntualidat
ESPERA,no se puede esperar 5 horas para que te visite un medico ,1,12,57,pod esper   hor visit medic
ESPERA,si para esperar,1,3,15,si esper
ESPERA,lista de espera,1,3,15,list esper
ESPERA,el tiempo de espera sobretodo para los que venimos de fuero,1,11,59,tiemp esper sobretod ven fuer
ESPERA,"no deberian cobrar los medicos que se gestionan tan mal, dos horas esperando a que me vean",1,17,90,deberi cobr medic gestion tan mal do hor esper ver
ESPERA,la conslta comenzo un cuarto de hora tarde y era la primera paciente de la mañana,1,16,81,conslt comenz cuart hor tard primer pacient manan
ESPERA,tiempos de espera,1,3,17,tiemp esper
ESPERA,ir más rápido,1,3,13,ir rap
ESPERA,si no es necesario elmfet ser atendido de forma presencial no hacer esperar a la gente,1,16,86,si necesari elmfet ser atend form presencial hac esper gent
ESPERA,en el timpo de En el tiempo de espera de dar Resultados.,1,12,56,timp tiemp esper dar result
ESPERA,la puntualidaz,1,2,14,puntualidaz
ESPERA,el tiempo de espera,1,4,19,tiemp esper
ESPERA,esperar poco,1,2,12,esper
ESPERA,el tiempo de espera,1,4,19,tiemp esper
ESPERA,"tiempo de espera, amabilidad administrativas, el paciente debería pernoctar mas tiempo",1,11,86,tiemp esper amabil administr pacient deb pernoct mas tiemp
ESPERA,tiempo de espera trato personal y medico muy Eficiente y familiar. Julio Salguero .R,1,14,84,tiemp esper trat personal medic eficient famili juli salguer  r
ESPERA,el tiempo de espera,1,4,19,tiemp esper
ESPERA,el medico dos hora esperando no abla manta Cico hora sin volver nada Y mas cosa,1,16,79,medic do hor esper abla mant cic hor volv mas cos
ESPERA,"la espera Hasta entrar en consulta en Sidón de una hora Me parece un poco larga, gracias",1,17,88,esper entrar consult sidon hor parec larg graci
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,puntualidad,1,1,11,puntual
ESPERA,ser atendido,1,2,12,ser atend
ESPERA,"tiempo de espera RAZONABLE, no superior 15 minutos",1,8,50,tiemp esper razon superior    minut
ESPERA,"mes eficacia, menos tiempo de, espera, y mas con la gravedad del momento, con el coronavirus",1,16,92,mes eficaci men tiemp esper mas graved moment coronavirus
ESPERA,que los medicos baila pero rapibo mucho mas rapido,1,9,50,medic bail rapib mas rap
ESPERA,en ls Educación de! persona! y en tuempo de espers levanto 2 horas y aun no mehan visitadas,1,18,91,ls educ person tuemp espers levant   hor aun meh visit
ESPERA,Mejor tiempo espera 2:30 minutos se exagerada Pone 30 60 minutos y aun no emos entrdo,1,16,85,mejor tiemp esper      minut exager pon       minut aun emos entrdo
ESPERA,"no muchos minutos de espera, Porque hay gente que necesita ser atendida urgentemente",1,13,84,minut esper gent necesit ser atend urgent
ESPERA,buscar otras vías para resolver el problema y menos tiempo de espera entre visita y visita,1,16,90,busc via resolv problem men tiemp esper visit visit
ESPERA,"casi 1 hora de espera pero pobre de mí si llego mas tarde pq la visita me queda anula, lada.",1,20,92,casi   hor esper pobr si lleg mas tard pq visit qued anul lad
ESPERA,"no dar horas mientras los médicos comen, 90 min esperando sin nadie delante, vergüenza",1,14,86,dar hor mientr medic com    minut esper nadi delant verguenz
ESPERA,principalmente el tiempo de espera. Ya son varias visitas con retrasos de hora y media.,1,15,87,principal tiemp esper vari visit retras hor medi
ESPERA,urgencias tiempo de espera excesiva pero de 3horas,1,8,50,urgenci tiemp esper exces  hor
ESPERA,espera muy larga sin sentido..no Tiene nada que ver con la excusa siempre de los recortes,1,16,89,esper larg sent ver excus siempr recort
ESPERA,"sobretodo en el tiempo de espera, sería mas Necesario pero personal medico y administrtivos",1,14,91,sobretod tiemp esper mas necesari personal medic administrt
ESPERA,tiempo de espera una vez visitados para el informe,1,9,50,tiemp esper vez visit inform
ESPERA,temp espera,1,2,11,temp esper
ESPERA,tres horas ESPN 3h esperando conun bbv 3h espera veronzoso,1,10,58,tres hor espn  h esper conun bbv  h esper veronz
ESPERA,tiempo espera,1,2,13,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,miedo la espera,1,3,15,mied esper
ESPERA,miedo la espera,1,3,15,mied esper
ESPERA,tardía Muchas horas para que te vean y los medicos no hacenn nada,1,13,65,tardi hor ver medic hacenn
ESPERA,temp de Spera informado como mínimo. he esperado 3 h y nadie dice nada,1,14,70,temp sper inform minim esper   hor nadi dec
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,"bocadillos calientes muy lento, para un bocata mas de 20minutos",1,10,63,bocadill calient lent bocat mas   minut
ESPERA,esperar menos,1,2,13,esper men
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,"tiempo de espera de citaciones ,, que tiene atienda el Mismo especialista",1,12,73,tiemp esper citacion atend mism especial
ESPERA,listas espera,1,2,13,list esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,temp de espere,1,3,14,temp esper
ESPERA,mucho Retraso,1,2,13,retras
ESPERA,tempsdeespera,1,1,13,tempsdeesper
ESPERA,menos tiempo de espera lo demas en las visitas en lo demas todo bien,1,14,68,men tiemp esper dem visit dem bien
ESPERA,un poco de puntualidad que para eso tenemos un horario de cita,1,12,62,puntual horari cit
ESPERA,la puntualidad,1,2,14,puntual
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,visitas pero espaciadas que se ajustan al maximo a la hora Propuesta,1,12,68,visit espaci ajust maxim hor propon
ESPERA,listas de espera,1,3,16,list esper
ESPERA,espera muy larga,1,3,16,esper larg
ESPERA,en el tiempo de espera ... se desesperante y vergonzoso,1,10,55,tiemp esper     desesper vergonz
ESPERA,"Reducir las lisras de espera, y tiempo de espera en la consulta",1,12,63,reduc lisr esper tiemp esper consult
ESPERA,lla sala de espera de emergencias ay que esperar mucho,1,10,54,lla sal esper emergent ay esper
ESPERA,"tenía hora para las 13,40. son las 14,45 y aun no me han llamado",1,14,64,hor             aun llam
ESPERA,tengo hora a las 13 horas. sonlas 13:35 y encqra no me han avisado,1,14,66,hor    hor sonl       encqra avis
ESPERA,tiempo espera es una vergüenza y cuasi pie a secretaría etc,1,11,59,tiemp esper verguenz cuasi pie secret etceter
ESPERA,tiempo de espera midicos ni se sabe donde están y urgencias Llena,1,12,65,tiemp esper midic sab urgenci llen
ESPERA,precision horaria,1,2,17,precision horari
ESPERA,espera consulta respecto hora visita programada (20 minutos espera),1,9,67,esper consult respect hor visit program minut esper
ESPERA,inaceptable eltiempo de espera. 2horas con un paciente de 86 años,1,11,65,inacept eltiemp esper  hor pacient    ano
ESPERA,Mucha tardanza,1,2,14,tardanz
ESPERA,una verguenza esperar una hora y veinte minutos.una verguenza !!,1,10,64,verguenz esper hor veint minutos un verguenz
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,en todo lentos,1,3,14,lent
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
ESPERA,tiempo de espera,1,3,16,tiemp esper
